ID,Name,dataId,queryStart,queryEnd,readStart,readEnd,sendStart,sendEnd,adrenStart,adrenEnd,queryTime,readTime,sendTime,adrenTime
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 08:15:04,2017-08-24 08:15:09,2017-08-24 08:15:09,2017-08-24 08:15:20,2017-08-24 08:15:20,2017-08-24 08:15:35,2017-08-24 08:15:35,2017-08-24 08:15:45,5.0,11.0,15.0,10.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 09:15:04,2017-08-24 09:15:10,2017-08-24 09:15:10,2017-08-24 09:15:21,2017-08-24 09:15:21,2017-08-24 09:15:40,2017-08-24 09:15:40,2017-08-24 09:15:56,6.0,11.0,19.0,16.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 10:15:06,2017-08-24 10:15:11,2017-08-24 10:15:11,2017-08-24 10:15:23,2017-08-24 10:15:23,2017-08-24 10:15:43,2017-08-24 10:15:43,2017-08-24 10:15:59,5.0,12.0,20.0,16.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 11:15:04,2017-08-24 11:15:09,2017-08-24 11:15:09,2017-08-24 11:15:20,2017-08-24 11:15:20,2017-08-24 11:15:41,2017-08-24 11:15:41,2017-08-24 11:15:57,5.0,11.0,21.0,16.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 12:15:05,2017-08-24 12:15:11,2017-08-24 12:15:11,2017-08-24 12:15:22,2017-08-24 12:15:22,2017-08-24 12:15:50,2017-08-24 12:15:50,2017-08-24 12:16:06,6.0,11.0,28.0,16.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 13:15:04,2017-08-24 13:15:10,2017-08-24 13:15:10,2017-08-24 13:15:21,2017-08-24 13:15:21,2017-08-24 13:15:38,2017-08-24 13:15:38,2017-08-24 13:15:54,6.0,11.0,17.0,16.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 14:15:06,2017-08-24 14:15:11,2017-08-24 14:15:11,2017-08-24 14:15:22,2017-08-24 14:15:22,2017-08-24 14:15:43,2017-08-24 14:15:43,2017-08-24 14:15:54,5.0,11.0,21.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 15:15:05,2017-08-24 15:15:11,2017-08-24 15:15:11,2017-08-24 15:15:22,2017-08-24 15:15:22,2017-08-24 15:15:37,2017-08-24 15:15:37,2017-08-24 15:15:48,6.0,11.0,15.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 16:15:04,2017-08-24 16:15:10,2017-08-24 16:15:10,2017-08-24 16:15:21,2017-08-24 16:15:21,2017-08-24 16:15:35,2017-08-24 16:15:35,2017-08-24 16:15:46,6.0,11.0,14.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 17:15:04,2017-08-24 17:15:10,2017-08-24 17:15:10,2017-08-24 17:15:21,2017-08-24 17:15:21,2017-08-24 17:15:36,2017-08-24 17:15:36,2017-08-24 17:15:47,6.0,11.0,15.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 18:15:04,2017-08-24 18:15:10,2017-08-24 18:15:10,2017-08-24 18:15:21,2017-08-24 18:15:21,2017-08-24 18:15:32,2017-08-24 18:15:32,2017-08-24 18:31:29,6.0,11.0,11.0,957.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 19:15:04,2017-08-24 19:15:10,2017-08-24 19:15:10,2017-08-24 19:15:21,2017-08-24 19:15:21,2017-08-24 19:15:36,2017-08-24 19:15:36,2017-08-24 19:15:46,6.0,11.0,15.0,10.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 20:15:04,2017-08-24 20:15:09,2017-08-24 20:15:09,2017-08-24 20:15:21,2017-08-24 20:15:21,2017-08-24 20:15:35,2017-08-24 20:15:35,2017-08-24 20:15:46,5.0,12.0,14.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 21:15:04,2017-08-24 21:15:09,2017-08-24 21:15:09,2017-08-24 21:15:20,2017-08-24 21:15:20,2017-08-24 21:15:35,2017-08-24 21:15:35,2017-08-24 21:15:46,5.0,11.0,15.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 22:15:24,2017-08-24 22:15:30,2017-08-24 22:15:30,2017-08-24 22:15:41,2017-08-24 22:15:41,2017-08-24 22:15:56,2017-08-24 22:15:56,2017-08-24 22:16:06,6.0,11.0,15.0,10.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-24 23:15:04,2017-08-24 23:15:10,2017-08-24 23:15:10,2017-08-24 23:15:20,2017-08-24 23:15:20,2017-08-24 23:15:35,2017-08-24 23:15:35,2017-08-24 23:15:46,6.0,10.0,15.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-25 00:15:04,2017-08-25 00:15:10,2017-08-25 00:15:10,2017-08-25 00:15:21,2017-08-25 00:15:21,2017-08-25 00:15:36,2017-08-25 00:15:36,2017-08-25 00:15:47,6.0,11.0,15.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-25 01:15:04,2017-08-25 01:15:24,2017-08-25 01:15:24,2017-08-25 01:15:35,2017-08-25 01:15:35,2017-08-25 01:15:50,2017-08-25 01:15:50,2017-08-25 01:16:01,20.0,11.0,15.0,11.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-25 05:15:04,2017-08-25 05:15:46,2017-08-25 05:15:46,2017-08-25 05:15:57,2017-08-25 05:15:57,2017-08-25 05:16:12,2017-08-25 05:16:12,2017-08-25 05:16:28,42.0,11.0,15.0,16.0
9bd6546b-d822-4b0b-b83a-fad7ff964ab0,NZ REST SALES BY HOUR - PI - SVR,357,2017-08-25 06:15:04,2017-08-25 06:16:39,2017-08-25 06:16:39,2017-08-25 06:16:50,2017-08-25 06:16:50,2017-08-25 06:17:09,2017-08-25 06:17:09,2017-08-25 06:17:19,95.0,11.0,19.0,10.0
